Sat Mar 26 17:14:11 2022    code_analysis/output.dat

         148516617 function calls (148402911 primitive calls) in 763.523 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    81584    0.101    0.000    0.101    0.000 D:\Documents\Coding\Chess\generate_moves.py:360(<genexpr>)
    81126    0.030    0.000    0.030    0.000 D:\Documents\Coding\Chess\generate_moves.py:494(<listcomp>)
    75448    0.013    0.000    0.013    0.000 D:\Documents\Coding\Chess\evaluation\middle.py:6(mid_eval)
    72040    0.078    0.000    0.078    0.000 D:\Documents\Coding\Chess\generate_moves.py:372(<listcomp>)
    66157    0.041    0.000    0.256    0.000 {built-in method builtins.all}
    40337    0.006    0.000    0.006    0.000 {method 'values' of 'dict' objects}
    31866    0.004    0.000    0.004    0.000 {built-in method builtins.isinstance}
    25554    0.005    0.000    0.005    0.000 D:\Documents\Coding\Chess\evaluation\end_game.py:6(end_eval)
    21179    0.015    0.000    0.015    0.000 D:\Documents\Coding\Chess\evaluation\rays.py:87(<listcomp>)
    19523    0.013    0.000    0.013    0.000 D:\Documents\Coding\Chess\generate_moves.py:302(<listcomp>)
    19063    0.002    0.000    0.002    0.000 {built-in method nt.fspath}
    18950    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
 18101/67    0.094    0.000  324.252    4.840 D:\Documents\Coding\Chess\AdderBot.py:63(alphabeta)
    14709    0.003    0.000    0.003    0.000 {method 'startswith' of 'str' objects}
    14354    0.055    0.000    0.055    0.000 {built-in method pygame.draw.rect}
    13644    0.012    0.000    0.018    0.000 C:\Users\Adam\anaconda3\lib\site-packages\pkg_resources\_vendor\packaging\version.py:187(_parse_version_parts)
    12964    0.013    0.000    0.013    0.000 D:\Documents\Coding\Chess\evaluation\rays.py:79(<listcomp>)
    12187    0.003    0.000    0.003    0.000 {method 'group' of 're.Match' objects}
    12093    0.012    0.000    0.012    0.000 D:\Documents\Coding\Chess\generate_moves.py:296(<listcomp>)
    11928    0.012    0.000    0.012    0.000 D:\Documents\Coding\Chess\generate_moves.py:294(<listcomp>)
    11469    0.010    0.000    0.010    0.000 D:\Documents\Coding\Chess\evaluation\rays.py:81(<listcomp>)
    11354    0.003    0.000    0.003    0.000 {method 'replace' of 'str' objects}
    10993    0.007    0.000    0.007    0.000 D:\Documents\Coding\Chess\evaluation\rays.py:85(<listcomp>)
    10932    0.007    0.000    0.007    0.000 D:\Documents\Coding\Chess\generate_moves.py:300(<listcomp>)
    10664    0.020    0.000    0.026    0.000 C:\Users\Adam\anaconda3\lib\ntpath.py:124(splitdrive)
    10462    0.003    0.000    0.003    0.000 C:\Users\Adam\anaconda3\lib\sre_parse.py:233(__next)
     9649    0.002    0.000    0.005    0.000 C:\Users\Adam\anaconda3\lib\sre_parse.py:254(get)
     8869    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     8171    0.001    0.000    0.001    0.000 D:\Documents\Coding\Chess\evaluation\opening.py:6(opening_eval)
     7370    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
     6652    0.007    0.000    0.007    0.000 D:\Documents\Coding\Chess\evaluation\rays.py:73(<listcomp>)
     5587    0.006    0.000    0.006    0.000 D:\Documents\Coding\Chess\generate_moves.py:288(<listcomp>)
     5315    0.637    0.000    0.637    0.000 {method 'blit' of 'pygame.Surface' objects}
     5300    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
5239/5235    0.002    0.000    0.004    0.000 {method 'join' of 'str' objects}
     4890    0.005    0.000    0.007    0.000 C:\Users\Adam\anaconda3\lib\site-packages\pkg_resources\_vendor\packaging\version.py:98(_compare)
     4695    0.227    0.000    0.227    0.000 {built-in method nt.stat}
     4532    0.002    0.000    0.002    0.000 C:\Users\Adam\anaconda3\lib\site-packages\pkg_resources\_vendor\packaging\version.py:282(<genexpr>)
     4471    0.001    0.000    0.005    0.000 C:\Users\Adam\anaconda3\lib\site-packages\pkg_resources\__init__.py:2344(_normalize_cached)
     4401    0.011    0.000    0.033    0.000 C:\Users\Adam\anaconda3\lib\ntpath.py:77(join)
     3733    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
     3733    0.003    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
     3533    4.997    0.001    4.997    0.001 {built-in method pygame.event.get}
     3532  430.217    0.122  430.217    0.122 {method 'tick' of 'Clock' objects}
     3532    2.064    0.001    2.064    0.001 {built-in method pygame.display.flip}
     3501    0.001    0.000    0.002    0.000 C:\Users\Adam\anaconda3\lib\sre_parse.py:164(__getitem__)
     3492    0.001    0.000    0.001    0.000 C:\Users\Adam\anaconda3\lib\site-packages\pkg_resources\_vendor\packaging\version.py:420(_parse_letter_version)
     3260    0.002    0.000    0.002    0.000 C:\Users\Adam\anaconda3\lib\site-packages\pkg_resources\_vendor\packaging\version.py:84(<lambda>)
     3260    0.001    0.000    0.007    0.000 C:\Users\Adam\anaconda3\lib\site-packages\pkg_resources\_vendor\packaging\version.py:82(__eq__)
     3198    0.001    0.000    0.001    0.000 {method 'rfind' of 'str' objects}
     3133    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
3046/2979    0.003    0.000    0.006    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     2909    0.002    0.000    0.124    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
     2870    0.012    0.000    0.032    0.000 C:\Users\Adam\anaconda3\lib\site-packages\pkg_resources\_vendor\packaging\version.py:271(__init__)
     2870    0.007    0.000    0.007    0.000 {method 'search' of 're.Pattern' objects}
     2835    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
     2600    0.004    0.000    0.062    0.000 C:\Users\Adam\anaconda3\lib\site-packages\pkg_resources\__init__.py:2067(dist_factory)
     2496    0.000    0.000    0.000    0.000 C:\Users\Adam\anaconda3\lib\site-packages\numpy\core\multiarray.py:321(where)
     2496    0.002    0.000    0.004    0.000 <__array_function__ internals>:2(where)
     2466    0.001    0.000    0.001    0.000 C:\Users\Adam\anaconda3\lib\site-packages\pkg_resources\_vendor\packaging\version.py:314(<genexpr>)
     2234    0.003    0.000    0.050    0.000 C:\Users\Adam\anaconda3\lib\site-packages\pkg_resources\_vendor\packaging\version.py:48(parse)
     2171    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
     2162    0.004    0.000    0.089    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
     2090    0.001    0.000    0.016    0.000 C:\Users\Adam\anaconda3\lib\site-packages\pkg_resources\__init__.py:2044(<genexpr>)
     2052    0.002    0.000    0.002    0.000 D:\Documents\Coding\Chess\evaluation\rays.py:75(<listcomp>)
     2045    0.002    0.000    0.085    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
     1869    0.003    0.000    0.004    0.000 C:\Users\Adam\anaconda3\lib\site-packages\pkg_resources\__init__.py:2635(key)
     1818    0.001    0.000    0.001    0.000 C:\Users\Adam\anaconda3\lib\ntpath.py:34(_get_bothseps)
     1762    0.002    0.000    0.002    0.000 D:\Documents\Coding\Chess\generate_moves.py:290(<listcomp>)
     1712    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x00007FF839C1B810}
     1708    0.004    0.000    0.004    0.000 {method 'split' of 're.Pattern' objects}
     1704    0.010    0.000    0.032    0.000 C:\Users\Adam\anaconda3\lib\site-packages\pkg_resources\_vendor\packaging\version.py:205(_legacy_cmpkey)
     1704    0.001    0.000    0.033    0.000 C:\Users\Adam\anaconda3\lib\site-packages\pkg_resources\_vendor\packaging\version.py:107(__init__)
     1630    0.000    0.000    0.000    0.000 C:\Users\Adam\anaconda3\lib\site-packages\pkg_resources\_vendor\packaging\version.py:76(<lambda>)
