Mon Apr  4 20:26:35 2022    code_analysis/output.dat

         7947 function calls (7945 primitive calls) in 242.290 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 D:\Documents\Coding\Chess\generate_moves.py:259(gen_rook_moves)
      182    0.000    0.000    0.000    0.000 {built-in method builtins.len}
       12    0.000    0.000    0.000    0.000 C:\Users\Adam\anaconda3\lib\site-packages\numpy\core\fromnumeric.py:199(reshape)
        1    0.000    0.000    0.000    0.000 D:\Documents\Coding\Chess\evaluation\all_eval.py:44(knight_pos)
        6    0.000    0.000    0.000    0.000 D:\Documents\Coding\Chess\ChessMain.py:261(undo_button)
        4    0.000    0.000    0.000    0.000 D:\Documents\Coding\Chess\evaluation\rays.py:127(knight_move)
       12    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(reshape)
        4    0.000    0.000    0.000    0.000 C:\Users\Adam\anaconda3\lib\site-packages\ipykernel\iostream.py:386(write)
        2    0.000    0.000    0.000    0.000 D:\Documents\Coding\Chess\generate_moves.py:269(gen_bishop_moves)
        1    0.000    0.000    0.001    0.001 D:\Documents\Coding\Chess\evaluation\all_eval.py:24(eval_all_time)
        1    0.000    0.000    0.000    0.000 D:\Documents\Coding\Chess\evaluation\rays.py:103(__init__)
        1    0.000    0.000    0.000    0.000 D:\Documents\Coding\Chess\Chess_engine.py:95(default_start)
      115    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
       32    0.000    0.000    0.000    0.000 D:\Documents\Coding\Chess\evaluation\all_eval.py:188(<genexpr>)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.print}
       72    0.000    0.000    0.000    0.000 C:\Users\Adam\anaconda3\lib\site-packages\numpy\core\multiarray.py:321(where)
        4    0.000    0.000    0.000    0.000 C:\Users\Adam\anaconda3\lib\site-packages\ipykernel\iostream.py:310(_is_master_process)
        2    0.000    0.000    0.000    0.000 D:\Documents\Coding\Chess\generate_moves.py:433(knight_attacks)
        2    0.000    0.000    0.000    0.000 {built-in method numpy.array}
        5    0.000    0.000    0.000    0.000 C:\Users\Adam\anaconda3\lib\threading.py:1071(is_alive)
        2    0.000    0.000    0.000    0.000 D:\Documents\Coding\Chess\Chess_engine.py:154(<dictcomp>)
        2    0.000    0.000    0.000    0.000 D:\Documents\Coding\Chess\generate_moves.py:321(gen_queen_moves)
       14    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       20    0.000    0.000    0.000    0.000 {built-in method builtins.all}
        1    0.000    0.000  242.289  242.289 <string>:1(<module>)
        4    0.000    0.000    0.000    0.000 D:\Documents\Coding\Chess\generate_moves.py:352(<genexpr>)
        2    0.000    0.000    0.000    0.000 D:\Documents\Coding\Chess\Chess_engine.py:156(<dictcomp>)
       10    0.000    0.000    0.000    0.000 {method 'set_alpha' of 'pygame.Surface' objects}
        1    0.000    0.000    0.001    0.001 D:\Documents\Coding\Chess\eval_calc.py:44(wrapped)
        5    0.000    0.000    0.000    0.000 C:\Users\Adam\anaconda3\lib\threading.py:1017(_wait_for_tstate_lock)
